# gene-model: GENCODE v36
gene_id	gene_name	gene_type	unstranded	stranded_first	stranded_second	tpm_unstranded	fpkm_unstranded	fpkm_uq_unstranded
N_unmapped			891665	891665	891665			
N_multimapping			5594133	5594133	5594133			
N_noFeature			2379090	37152289	36841398			
N_ambiguous			8058177	2551678	2599024			
ENSG00000000003.15	TSPAN6	protein_coding	13636	6783	6853	134.9133	47.2599	69.6631
ENSG00000000005.6	TNMD	protein_coding	6	3	3	0.1824	0.0639	0.0942
ENSG00000000419.13	DPM1	protein_coding	2096	1032	1064	77.9336	27.3000	40.2414
ENSG00000000457.14	SCYL3	protein_coding	743	584	589	4.8445	1.6970	2.5015
ENSG00000000460.17	C1orf112	protein_coding	253	338	366	1.9019	0.6662	0.9821
ENSG00000000938.13	FGR	protein_coding	255	143	112	3.3838	1.1853	1.7473
ENSG00000000971.16	CFH	protein_coding	140458	70269	70191	789.9226	276.7085	407.8800
ENSG00000001036.14	FUCA2	protein_coding	1603	1294	1274	25.4928	8.9301	13.1633
ENSG00000001084.13	GCLC	protein_coding	1869	1068	1123	9.7329	3.4094	5.0256
ENSG00000001167.14	NFYA	protein_coding	2271	1207	1267	26.7436	9.3682	13.8092
ENSG00000001460.18	STPG1	protein_coding	140	71	82	0.7382	0.2586	0.3812
ENSG00000001461.17	NIPAL3	protein_coding	683	351	345	3.2623	1.1428	1.6845
ENSG00000001497.18	LAS1L	protein_coding	2329	1171	1162	8.3252	2.9163	4.2987
ENSG00000001561.7	ENPP4	protein_coding	1037	528	509	10.0214	3.5105	5.1746
ENSG00000001617.12	SEMA3F	protein_coding	1396	705	691	12.9819	4.5475	6.7033
ENSG00000001626.16	CFTR	protein_coding	1	0	1	0.0045	0.0016	0.0023
ENSG00000001629.10	ANKIB1	protein_coding	1545	778	772	9.3839	3.2872	4.8454
ENSG00000001630.17	CYP51A1	protein_coding	240	124	116	3.0521	1.0691	1.5760
ENSG00000001631.16	KRIT1	protein_coding	198	95	105	1.4323	0.5017	0.7396
ENSG00000002016.18	RAD52	protein_coding	205	97	109	2.0431	0.7157	1.0550
ENSG00000002079.14	MYH16	transcribed_unitary_pseudogene	14	4	11	0.0996	0.0349	0.0514
ENSG00000002330.14	BAD	protein_coding	403	1023	1012	10.5891	3.7093	5.4677
ENSG00000002549.12	LAP3	protein_coding	3584	1775	1810	42.4955	14.8861	21.9427
ENSG00000002586.20	CD99	protein_coding	13828	6371	7459	127.7447	44.7487	65.9615
ENSG00000002586.20_PAR_Y	CD99	protein_coding	0	0	0	0.0000	0.0000	0.0000
ENSG00000002587.10	HS3ST1	protein_coding	30	14	16	0.1811	0.0634	0.0935
ENSG00000002726.21	AOC1	protein_coding	11	5	6	0.1304	0.0457	0.0673
ENSG00000002745.13	WNT16	protein_coding	3	1	2	0.0412	0.0144	0.0213
ENSG00000002746.15	HECW1	protein_coding	58	34	39	0.1868	0.0654	0.0965
ENSG00000002822.15	MAD1L1	protein_coding	15	6	9	0.0931	0.0326	0.0481
ENSG00000002834.18	LASP1	protein_coding	12569	7861	8006	79.8869	27.9842	41.2499
ENSG00000002919.15	SNX11	protein_coding	1454	708	747	15.7885	5.5307	8.1524
ENSG00000002933.9	TMEM176A	protein_coding	94167	46409	47918	1215.4441	425.7680	627.6000
ENSG00000003056.8	M6PR	protein_coding	1567	975	1028	19.6165	6.8716	10.1290
ENSG00000003096.14	KLHL13	protein_coding	555	266	289	3.5669	1.2495	1.8418
ENSG00000003137.8	CYP26B1	protein_coding	65	32	33	0.5817	0.2038	0.3004
