# gene-model: GENCODE v36
gene_id	gene_name	gene_type	unstranded	stranded_first	stranded_second	tpm_unstranded	fpkm_unstranded	fpkm_uq_unstranded
N_unmapped			933626	933626	933626			
N_multimapping			4132607	4132607	4132607			
N_noFeature			2822348	24688197	24941590			
N_ambiguous			4884809	1315434	1295418			
ENSG00000000003.15	TSPAN6	protein_coding	2763	1380	1383	41.9676	14.9916	21.2588
ENSG00000000005.6	TNMD	protein_coding	1	1	0	0.0467	0.0167	0.0236
ENSG00000000419.13	DPM1	protein_coding	813	423	390	46.4077	16.5777	23.5079
ENSG00000000457.14	SCYL3	protein_coding	799	682	630	7.9979	2.8570	4.0514
ENSG00000000460.17	C1orf112	protein_coding	224	371	390	2.5851	0.9235	1.3095
ENSG00000000938.13	FGR	protein_coding	168	80	88	3.4225	1.2226	1.7337
ENSG00000000971.16	CFH	protein_coding	62935	31785	31150	543.3701	194.1016	275.2457
ENSG00000001036.14	FUCA2	protein_coding	1078	837	789	26.3189	9.4016	13.3319
ENSG00000001084.13	GCLC	protein_coding	3089	1767	1787	24.6955	8.8217	12.5096
ENSG00000001167.14	NFYA	protein_coding	705	395	372	12.7455	4.5529	6.4563
ENSG00000001460.18	STPG1	protein_coding	89	60	41	0.7205	0.2574	0.3650
ENSG00000001461.17	NIPAL3	protein_coding	567	304	275	4.1576	1.4852	2.1061
ENSG00000001497.18	LAS1L	protein_coding	1347	659	690	7.3919	2.6405	3.7444
ENSG00000001561.7	ENPP4	protein_coding	377	199	178	5.5931	1.9980	2.8332
ENSG00000001617.12	SEMA3F	protein_coding	1376	691	685	19.6443	7.0173	9.9509
ENSG00000001626.16	CFTR	protein_coding	9	5	4	0.0624	0.0223	0.0316
ENSG00000001629.10	ANKIB1	protein_coding	489	248	245	4.5596	1.6288	2.3097
ENSG00000001630.17	CYP51A1	protein_coding	104	53	56	2.0304	0.7253	1.0285
ENSG00000001631.16	KRIT1	protein_coding	88	42	50	0.9773	0.3491	0.4950
ENSG00000002016.18	RAD52	protein_coding	350	187	164	5.3552	1.9130	2.7127
ENSG00000002079.14	MYH16	transcribed_unitary_pseudogene	2	3	2	0.0218	0.0078	0.0111
