# gene-model: GENCODE v36
gene_id	gene_name	gene_type	unstranded	stranded_first	stranded_second	tpm_unstranded	fpkm_unstranded	fpkm_uq_unstranded
N_unmapped			1921406	1921406	1921406			
N_multimapping			4541910	4541910	4541910			
N_noFeature			4263037	31840535	32205477			
N_ambiguous			5946817	1469134	1456812			
ENSG00000000003.15	TSPAN6	protein_coding	6636	3335	3301	92.2651	28.3987	28.5802
ENSG00000000005.6	TNMD	protein_coding	0	0	0	0.0000	0.0000	0.0000
ENSG00000000419.13	DPM1	protein_coding	1907	955	952	99.6432	30.6697	30.8656
ENSG00000000457.14	SCYL3	protein_coding	1322	1152	1105	12.1132	3.7284	3.7522
ENSG00000000460.17	C1orf112	protein_coding	490	759	719	5.1764	1.5933	1.6034
ENSG00000000938.13	FGR	protein_coding	351	162	189	6.5454	2.0146	2.0275
ENSG00000000971.16	CFH	protein_coding	31077	15781	15296	245.6069	75.5965	76.0796
ENSG00000001036.14	FUCA2	protein_coding	4397	3098	3165	98.2661	30.2458	30.4391
ENSG00000001084.13	GCLC	protein_coding	2296	1262	1345	16.8023	5.1717	5.2047
ENSG00000001167.14	NFYA	protein_coding	2637	1485	1395	43.6391	13.4319	13.5177
ENSG00000001460.18	STPG1	protein_coding	595	314	300	4.4090	1.3571	1.3657
ENSG00000001461.17	NIPAL3	protein_coding	1398	710	707	9.3836	2.8882	2.9067
ENSG00000001497.18	LAS1L	protein_coding	3841	1902	1967	19.2944	5.9387	5.9767
ENSG00000001561.7	ENPP4	protein_coding	946	474	472	12.8470	3.9543	3.9795
ENSG00000001617.12	SEMA3F	protein_coding	1284	662	623	16.7796	5.1647	5.1977
ENSG00000001626.16	CFTR	protein_coding	3920	1987	1955	24.8666	7.6538	7.7027
ENSG00000001629.10	ANKIB1	protein_coding	2453	1220	1236	20.9371	6.4443	6.4855
ENSG00000001630.17	CYP51A1	protein_coding	85	49	42	1.5190	0.4676	0.4705
ENSG00000001631.16	KRIT1	protein_coding	467	226	243	4.7473	1.4612	1.4705
ENSG00000002016.18	RAD52	protein_coding	1006	520	488	14.0897	4.3367	4.3644
ENSG00000002079.14	MYH16	transcribed_unitary_pseudogene	12	9	7	0.1200	0.0369	0.0372
ENSG00000002330.14	BAD	protein_coding	733	1401	1450	27.0658	8.3307	8.3839
ENSG00000002549.12	LAP3	protein_coding	4147	2078	2070	69.0991	21.2683	21.4042
ENSG00000002586.20	CD99	protein_coding	2772	1312	1460	35.9865	11.0765	11.1472
ENSG00000002586.20_PAR_Y	CD99	protein_coding	0	0	0	0.0000	0.0000	0.0000
ENSG00000002587.10	HS3ST1	protein_coding	717	364	355	6.0819	1.8720	1.8840
ENSG00000002726.21	AOC1	protein_coding	26	13	13	0.4331	0.1333	0.1342
ENSG00000002745.13	WNT16	protein_coding	0	0	0	0.0000	0.0000	0.0000
ENSG00000002746.15	HECW1	protein_coding	5	3	2	0.0226	0.0070	0.0070
ENSG00000002822.15	MAD1L1	protein_coding	22	8	14	0.1919	0.0591	0.0594
ENSG00000002834.18	LASP1	protein_coding	18508	11506	11700	165.3094	50.8814	51.2065
ENSG00000002919.15	SNX11	protein_coding	1588	790	798	24.2320	7.4585	7.5061
ENSG00000002933.9	TMEM176A	protein_coding	7275	3689	3605	131.9571	40.6157	40.8752
ENSG00000003056.8	M6PR	protein_coding	2567	1748	1725	45.1587	13.8996	13.9884
ENSG00000003096.14	KLHL13	protein_coding	88	46	42	0.7948	0.2446	0.2462
ENSG00000003137.8	CYP26B1	protein_coding	1639	849	790	20.6116	6.3442	6.3847
ENSG00000003147.19	ICA1	protein_coding	2078	1291	1238	26.8388	8.2608	8.3136
ENSG00000003249.15	DBNDD1	protein_coding	1762	905	883	24.9047	7.6655	7.7145
ENSG00000003393.15	ALS2	protein_coding	1898	1011	888	11.4679	3.5298	3.5523
ENSG00000003400.15	CASP10	protein_coding	1305	654	651	10.8565	3.3416	3.3629
ENSG00000003402.20	CFLAR	protein_coding	5620	3256	3300	15.7675	4.8532	4.8842
ENSG00000003436.16	TFPI	protein_coding	4431	2433	2284	23.8562	7.3428	7.3897
ENSG00000003509.16	NDUFAF7	protein_coding	944	579	524	16.3066	5.0191	5.0512
ENSG00000003756.17	RBM5	protein_coding	6582	4834	4719	40.0800	12.3364	12.4153
ENSG00000003987.14	MTMR7	protein_coding	44	117	107	0.4005	0.1233	0.1241
ENSG00000003989.18	SLC7A2	protein_coding	2249	1160	1089	17.9429	5.5227	5.5580
ENSG00000004059.11	ARF5	protein_coding	4374	2276	2244	151.1542	46.5245	46.8218
ENSG00000004139.14	SARM1	protein_coding	406	3369	3569	2.3057	0.7097	0.7142
ENSG00000004142.12	POLDIP2	protein_coding	12678	7171	6980	299.4634	92.1733	92.7622
ENSG00000004399.13	PLXND1	protein_coding	11329	5644	5685	74.7609	23.0110	23.1580
ENSG00000004455.17	AK2	protein_coding	5917	3041	2907	38.7708	11.9335	12.0097
ENSG00000004468.13	CD38	protein_coding	105	55	50	0.9657	0.2972	0.2991
ENSG00000004478.8	FKBP4	protein_coding	8214	5366	5419	100.3360	30.8829	31.0802
ENSG00000004487.17	KDM1A	protein_coding	3852	1950	1902	44.6572	13.7453	13.8331
ENSG00000004534.15	RBM6	protein_coding	6942	3604	3339	59.9826	18.4623	18.5803
ENSG00000004660.15	CAMKK1	protein_coding	131	68	63	1.1115	0.3421	0.3443
ENSG00000004700.16	RECQL	protein_coding	445	548	592	7.4266	2.2859	2.3005
ENSG00000004766.17	VPS50	protein_coding	1045	542	503	6.8946	2.1221	2.1357
ENSG00000004776.13	HSPB6	protein_coding	157	477	500	5.7434	1.7678	1.7791
ENSG00000004777.18	ARHGAP33	protein_coding	861	448	481	10.3234	3.1775	3.1978
ENSG00000004779.10	NDUFAB1	protein_coding	2288	1148	1141	93.2158	28.6913	28.8747
ENSG00000004799.8	PDK4	protein_coding	6667	3225	3442	92.5330	28.4812	28.6631
ENSG00000004809.14	SLC22A16	protein_coding	4	1	3	0.0646	0.0199	0.0200
ENSG00000004838.14	ZMYND10	protein_coding	45	26	27	0.9824	0.3024	0.3043
ENSG00000004846.16	ABCB5	protein_coding	689	342	348	4.6941	1.4448	1.4541
ENSG00000004848.8	ARX	protein_coding	0	0	0	0.0000	0.0000	0.0000
ENSG00000004864.14	SLC25A13	protein_coding	2849	1444	1405	48.4309	14.9068	15.0020
ENSG00000004866.22	ST7	protein_coding	1092	603	585	10.5531	3.2482	3.2689
ENSG00000004897.12	CDC27	protein_coding	4189	2177	2094	38.7147	11.9162	11.9923
ENSG00000004939.15	SLC4A1	protein_coding	4	4	0	0.0492	0.0152	0.0152
ENSG00000004948.16	CALCR	protein_coding	17	7	10	0.2539	0.0782	0.0787
ENSG00000004961.15	HCCS	protein_coding	1126	551	575	30.3089	9.3289	9.3885
ENSG00000004975.12	DVL2	protein_coding	1818	878	941	21.5479	6.6323	6.6747
ENSG00000005001.10	PRSS22	protein_coding	67	33	36	1.7724	0.5455	0.5490
ENSG00000005007.13	UPF1	protein_coding	9431	4737	4695	69.3792	21.3546	21.4910
ENSG00000005020.13	SKAP2	protein_coding	1290	628	662	15.1757	4.6710	4.7008
ENSG00000005022.6	SLC25A5	protein_coding	8025	4654	4602	325.4760	100.1798	100.8199
ENSG00000005059.16	MCUB	protein_coding	294	154	160	5.2157	1.6054	1.6156
ENSG00000005073.6	HOXA11	protein_coding	3	2	1	0.0709	0.0218	0.0220
ENSG00000005075.15	POLR2J	protein_coding	2469	1255	1254	114.9175	35.3710	35.5970
ENSG00000005100.13	DHX33	protein_coding	725	369	356	7.8984	2.4311	2.4466
ENSG00000005102.14	MEOX1	protein_coding	28	12	16	0.6604	0.2033	0.2046
ENSG00000005108.16	THSD7A	protein_coding	1008	527	545	5.8211	1.7917	1.8031
ENSG00000005156.12	LIG3	protein_coding	2535	2598	2601	12.3925	3.8143	3.8387
ENSG00000005175.10	RPAP3	protein_coding	1122	547	575	13.2265	4.0710	4.0970
ENSG00000005187.12	ACSM3	protein_coding	1800	1213	1197	15.1160	4.6526	4.6824
ENSG00000005189.20	REXO5	protein_coding	206	104	109	3.1603	0.9727	0.9789
ENSG00000005194.15	CIAPIN1	protein_coding	3261	1662	1599	60.7929	18.7117	18.8313
ENSG00000005206.17	SPPL2B	protein_coding	3392	1669	1723	28.8347	8.8752	8.9319
ENSG00000005238.20	FAM214B	protein_coding	1229	627	602	12.1584	3.7423	3.7662
ENSG00000005243.10	COPZ2	protein_coding	965	487	478	32.6152	10.0388	10.1029
ENSG00000005249.13	PRKAR2B	protein_coding	95	44	51	1.4058	0.4327	0.4355
ENSG00000005302.19	MSL3	protein_coding	1514	751	763	9.7632	3.0051	3.0243
ENSG00000005339.15	CREBBP	protein_coding	8140	4039	4103	33.1654	10.2081	10.2734
ENSG00000005379.17	TSPOAP1	protein_coding	2425	1204	1224	13.4286	4.1333	4.1597
ENSG00000005381.8	MPO	protein_coding	12	6	6	0.2146	0.0660	0.0665
ENSG00000005421.9	PON1	protein_coding	1977	1018	959	46.9266	14.4438	14.5361
ENSG00000005436.14	GCFC2	protein_coding	923	642	688	10.6575	3.2803	3.3013
ENSG00000005448.17	WDR54	protein_coding	884	434	484	19.5482	6.0168	6.0553
ENSG00000005469.12	CROT	protein_coding	1336	680	656	16.8685	5.1920	5.2252
ENSG00000005471.19	ABCB4	protein_coding	1821	910	911	14.8610	4.5741	4.6034
ENSG00000005483.21	KMT2E	protein_coding	3449	1900	1768	21.8634	6.7294	6.7724
ENSG00000005486.17	RHBDD2	protein_coding	4156	2010	2147	109.6685	33.7554	33.9711
ENSG00000005513.10	SOX8	protein_coding	28	8	21	0.3951	0.1216	0.1224
ENSG00000005700.15	IBTK	protein_coding	4109	2034	2075	29.7217	9.1482	9.2066
ENSG00000005801.18	ZNF195	protein_coding	2133	1066	1067	11.4869	3.5356	3.5582
ENSG00000005810.18	MYCBP2	protein_coding	3465	2033	1994	13.6691	4.2073	4.2342
ENSG00000005812.11	FBXL3	protein_coding	2417	2142	2103	21.5424	6.6306	6.6730
ENSG00000005844.19	ITGAL	protein_coding	1505	798	848	9.6225	2.9618	2.9807
ENSG00000005882.12	PDK2	protein_coding	2338	2675	2683	26.9514	8.2955	8.3485
ENSG00000005884.18	ITGA3	protein_coding	14717	7394	7323	94.6910	29.1454	29.3316
ENSG00000005889.16	ZFX	protein_coding	3273	1656	1618	22.8416	7.0305	7.0754
ENSG00000005893.16	LAMP2	protein_coding	27679	13936	13743	185.6274	57.1351	57.5002
ENSG00000005961.19	ITGA2B	protein_coding	24	16	8	0.2658	0.0818	0.0823
ENSG00000005981.13	ASB4	protein_coding	26	8	18	0.3560	0.1096	0.1103
ENSG00000006007.12	GDE1	protein_coding	1386	957	953	19.9115	6.1286	6.1678
ENSG00000006015.18	REX1BD	protein_coding	2094	1056	1039	39.1762	12.0582	12.1353
